Ticker,Year,Month,Month_Name,IndexName,Monthly_TSR,MonthlyVolatility,MonthlyVolatiltyRolling,MonthlySharpe,MonthlySharpe_Rolling,FirstClose,LastClose,Trading_Days,CompleteMonth,LastUpdated
^GSPC,2020,1,January,S&P 500,-0.0099,0.034,0.034,-0.29,-0.29,3257.8501,3225.52,21,True,2026-02-28 15:43:48.427446
^GSPC,2020,2,February,S&P 500,-0.0907,0.0689,0.0529,-1.32,-1.72,3248.9199,2954.22,19,True,2026-02-28 15:43:48.439258
^GSPC,2020,3,March,S&P 500,-0.1636,0.2776,0.1695,-0.59,-0.97,3090.23,2584.5901,22,True,2026-02-28 15:43:48.447731
^GSPC,2020,4,April,S&P 500,0.1789,0.1098,0.1555,1.63,1.15,2470.5,2912.4299,21,True,2026-02-28 15:43:48.455790
^GSPC,2020,5,May,S&P 500,0.0755,0.0577,0.1388,1.31,0.54,2830.71,3044.3101,20,True,2026-02-28 15:43:48.464761
^GSPC,2020,6,June,S&P 500,0.0146,0.0889,0.1368,0.16,0.11,3055.73,3100.29,22,True,2026-02-28 15:43:48.472570
^GSPC,2020,7,July,S&P 500,0.0498,0.0402,0.1269,1.24,0.39,3115.8601,3271.1201,22,True,2026-02-28 15:43:48.478669
^GSPC,2020,8,August,S&P 500,0.0624,0.0237,0.1162,2.64,0.54,3294.6101,3500.3101,21,True,2026-02-28 15:43:48.484997
^GSPC,2020,9,September,S&P 500,-0.0464,0.0725,0.112,-0.64,-0.41,3526.6499,3363.0,21,True,2026-02-28 15:43:48.492314
^GSPC,2020,10,October,S&P 500,-0.0328,0.0628,0.1102,-0.52,-0.3,3380.8,3269.96,22,True,2026-02-28 15:43:48.498855
^GSPC,2020,11,November,S&P 500,0.0941,0.046,0.1015,2.05,0.93,3310.24,3621.6299,20,True,2026-02-28 15:43:48.507437
^GSPC,2020,12,December,S&P 500,0.0256,0.0239,0.1021,1.07,0.25,3662.45,3756.0701,22,True,2026-02-28 15:43:48.513217
^GSPC,2021,1,January,S&P 500,0.0037,0.0456,0.0953,0.08,0.04,3700.6499,3714.24,19,True,2026-02-28 15:43:48.523489
^GSPC,2021,2,February,S&P 500,0.0099,0.0372,0.0939,0.27,0.11,3773.8601,3811.1499,19,True,2026-02-28 15:43:48.531944
^GSPC,2021,3,March,S&P 500,0.0182,0.0455,0.0627,0.4,0.29,3901.8201,3972.8899,23,True,2026-02-28 15:43:48.537683
^GSPC,2021,4,April,S&P 500,0.0401,0.0305,0.0511,1.32,0.79,4019.8701,4181.1699,21,True,2026-02-28 15:43:48.543825
