Ticker,Year,Index_Name,Region,Annual_TSR,AnnualVolatility,Sharpe_Ratio,MaxDailyProfit,MaxDP_Date,MinDailyProfit,MinDP_Date,TradingDays,YearComplete,LastUpdated
^GSPC,2020,S&P 500,US,0.15292906541696086,0.34559562349746126,0.44250868650853814,0.09382773976227554,2020-03-24,-0.11984055240393443,2020-03-16,253,True,2026-02-22 21:48:00.736734
^GSPC,2021,S&P 500,US,0.28793058018340584,0.13030481456309453,2.209669544051941,0.023790763506800205,2021-03-01,-0.025677883699462,2021-01-27,252,True,2026-02-22 21:48:00.750445
^GSPC,2022,S&P 500,US,-0.19953050663444413,0.24163302913900747,-0.8257584128519845,0.05543448436034493,2022-11-10,-0.0432366134006168,2022-09-13,251,True,2026-02-22 21:48:00.763885
^GSPC,2023,S&P 500,US,0.2472948720788867,0.13057750026485915,1.8938551555764342,0.02284078102943865,2023-01-06,-0.020041234255327334,2023-02-21,250,True,2026-02-22 21:48:00.775736
^GSPC,2024,S&P 500,US,0.24010976272160814,0.12658068778574233,1.8968909627670185,0.025295927786425976,2024-11-06,-0.02996879838863975,2024-08-05,252,True,2026-02-22 21:48:00.782766
^GSPC,2025,S&P 500,US,0.16647216566725934,0.18713458895771154,0.88958522630404,0.09515387644904849,2025-04-09,-0.05974960534553109,2025-04-04,250,True,2026-02-22 21:48:00.787058
^GSPC,2026,S&P 500,US,0.007441827285447034,0.044384530293522524,0.16766714069593508,0.0196957966973359,2026-02-06,-0.02062675805627745,2026-01-20,34,False,2026-02-22 21:48:00.792161
^DJI,2020,Dow Jones Industrial Average,US,0.0601923058968423,0.36887677703541527,0.16317727123023343,0.1136504119941153,2020-03-24,-0.12926545507355425,2020-03-16,253,True,2026-02-22 21:48:14.183641
^DJI,2021,Dow Jones Industrial Average,US,0.20230387384979495,0.12383809132410017,1.6336158906094551,0.019498688324130597,2021-03-01,-0.025277328923083653,2021-11-26,252,True,2026-02-22 21:48:14.189525
^DJI,2022,Dow Jones Industrial Average,US,-0.0939675574098246,0.1981077290764931,-0.47432554927497034,0.03695127876943638,2022-11-10,-0.03941681063179836,2022-09-13,251,True,2026-02-22 21:48:14.196073
^DJI,2023,Dow Jones Industrial Average,US,0.13740695853109858,0.11382946427932365,1.2071299764173415,0.02127329450421711,2023-01-06,-0.020608032696073808,2023-02-21,250,True,2026-02-22 21:48:14.201896
^DJI,2024,Dow Jones Industrial Average,US,0.12804387341339507,0.11393413850386312,1.1238411515180196,0.03571728261071705,2024-11-06,-0.026020720673163855,2024-08-05,252,True,2026-02-22 21:48:14.208831
^DJI,2025,Dow Jones Industrial Average,US,0.13377485079135798,0.16640981762869872,0.8038879718613875,0.07870402316174352,2025-04-09,-0.055025753008885125,2025-04-04,250,True,2026-02-22 21:48:14.215863
^DJI,2026,Dow Jones Industrial Average,US,0.02570311447895719,0.04916530376141099,0.5227897015279122,0.024677668028259214,2026-02-06,-0.017640804977022806,2026-01-20,34,False,2026-02-22 21:48:14.223886
^IXIC,2020,NASDAQ Composite,US,0.41751103577363946,0.3561870986043636,1.1721677663496501,0.09345998172386105,2020-03-13,-0.12321331290147408,2020-03-16,253,True,2026-02-22 21:48:17.343960
^IXIC,2021,NASDAQ Composite,US,0.2320377279061721,0.17978285375017838,1.2906554939249422,0.03685099962979543,2021-03-09,-0.03519202121238085,2021-02-25,252,True,2026-02-22 21:48:17.347629
^IXIC,2022,NASDAQ Composite,US,-0.3389368527446885,0.31916483216925334,-1.0619492456015645,0.07350217126661285,2022-11-10,-0.051591283487904094,2022-09-13,251,True,2026-02-22 21:48:17.352164
^IXIC,2023,NASDAQ Composite,US,0.44520822529105136,0.17326249049683853,2.569559193189451,0.032539740784891746,2023-02-02,-0.025024432145246744,2023-02-21,250,True,2026-02-22 21:48:17.356896
^IXIC,2024,NASDAQ Composite,US,0.3077926972856334,0.18029924170618547,1.7071214186647024,0.029571519211352593,2024-02-22,-0.036390883510082794,2024-07-24,252,True,2026-02-22 21:48:17.361703
^IXIC,2025,NASDAQ Composite,US,0.20544808405063167,0.24322236323490246,0.8446924095224392,0.12163161348672213,2025-04-09,-0.05968060766968586,2025-04-03,250,True,2026-02-22 21:48:17.366910
^IXIC,2026,NASDAQ Composite,US,-0.015044159936546805,0.0583957905568556,-0.2576240477795987,0.021766116022293724,2026-02-06,-0.023859706242919332,2026-01-20,34,False,2026-02-22 21:48:17.370775
